hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,439,0,441,0
1-2,0,0,0,0,0,0,0,0,0,0,0,60,60,0
4-5,0,0,48,0,0,0,0,0,0,0,0,306,354,0
5-6,0,0,0,0,0,0,4,0,0,0,188,305,497,0
6-7,0,0,0,6,0,0,2,0,0,102,0,699,809,0
7-8,0,863,0,30,0,0,52,0,0,527,28,1294,2794,1
8-9,0,217,2268,25,0,0,45,0,0,268,7854,678,11355,7
9-10,0,176,0,0,0,0,18,0,0,118,4366,1152,5830,3
10-11,0,0,0,0,0,0,3,0,0,0,864,3792,4659,2
11-12,0,0,0,0,0,0,0,0,0,0,1880,2351,4231,1
12-13,4,1301,0,352,0,17,79,0,0,1086,23830,3044,29713,6
13-14,8,1784,0,97,0,0,200,0,0,2894,56023,507,61513,20
14-15,0,1858,0,21,0,0,115,0,0,1206,1966,1155,6321,3
15-16,0,759,0,12,0,0,62,0,0,563,31,945,2372,0
16-17,0,9064,0,33,0,0,474,0,0,3828,12789,397,26585,8
17-18,4,3314,0,342,6,3,195,0,0,3637,7496,389,15386,5
18-19,0,13423,0,125,0,0,750,0,0,21740,1039,1264,38341,9
19-20,0,1049,0,13,0,0,58,0,0,1204,591,1279,4194,0
20-21,0,3061,0,50,6,0,240,0,0,3287,40868,782,48294,24
21-22,0,2605,0,33,0,0,144,0,0,1545,1404,527,6258,1
22-23,0,605,0,29,0,0,111,0,0,1083,43731,672,46231,18
23-24,0,592,0,7,0,0,42,0,0,796,213,446,2096,1
