hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,6,0,0,0,714,0,720,1
1-2,4,2778,0,166,7,0,163,0,0,3856,22248,2,29224,9
2-3,12,4071,0,394,20,2,477,0,0,6229,57234,55,68494,17
3-4,4,3310,0,186,7,0,290,0,0,5953,19907,2,29659,8
4-5,4,4800,0,229,14,0,523,0,0,7479,41638,46,54733,16
5-6,0,0,0,57,0,0,19,0,0,0,0,31,107,0
6-7,0,2272,0,147,2,0,165,0,0,3681,1654,139,8060,3
7-8,4,3888,0,315,23,22,358,0,0,6965,22508,263,34346,10
8-9,4,4746,2404,546,46,86,420,0,0,7954,32142,177,48525,13
9-10,12,8441,0,401,21,0,752,0,0,11747,96920,719,119013,37
10-11,12,7039,0,853,12,7,615,0,0,5249,119014,2981,135782,35
11-12,12,5427,0,522,29,2,540,0,0,8438,58400,1592,74962,22
12-13,0,3981,27,145,12,0,313,0,0,3113,2403,1579,11573,2
13-14,12,10388,34,410,14,0,973,0,0,12405,105969,1469,131674,34
14-15,398,7676,14,637,38,2,739,0,0,10167,67706,1043,88420,22
15-16,12,7626,17,374,21,0,612,0,0,10120,126005,1373,146160,46
16-17,4,4816,0,551,53,15,291,0,0,2509,58044,2571,68854,25
17-18,16,12568,0,587,27,2,962,0,0,12446,105083,1691,133382,35
18-19,8,8189,50,305,28,0,575,0,0,7623,92945,1082,110805,29
19-20,4,3776,0,106,7,0,271,0,0,2558,18956,173,25851,6
20-21,12,10154,23,703,60,3,749,0,0,8045,51153,159,71061,19
21-22,8,2685,0,627,40,3,212,0,0,2229,72825,314,78943,31
