hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,1280,0,1282,2
5-6,0,0,0,0,0,0,2,0,0,0,0,0,2,0
6-7,0,0,0,0,0,0,0,0,0,0,0,5,5,0
8-9,0,63,0,4,0,0,8,0,0,127,24,0,226,0
9-10,0,0,0,0,0,0,0,0,0,0,0,61,61,0
10-11,0,0,0,0,0,0,0,0,0,0,0,58,58,0
16-17,0,0,0,0,0,0,0,0,0,0,0,58,58,0
17-18,0,0,0,0,0,0,0,0,0,0,0,283,283,0
18-19,0,0,0,0,0,0,0,0,0,0,0,10,10,0
21-22,0,0,0,0,0,0,1,0,0,0,0,5,6,0
