hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,255,2252,68,1881,231,2761,14385,8163,40,882,0,0,6,354,155,2774,7953,5901,0,0,0,0
1-2,33,409,254,2205,735,2460,13,1444,728,3004,0,0,114,1215,688,3166,3524,3451,0,0,0,0
2-3,204,1438,192,1199,587,2503,260,3710,308,3283,0,0,157,1319,768,3006,47406,6667,0,0,0,0
3-4,42,572,226,1936,677,2327,231,3544,538,3948,0,0,182,1946,876,3634,41862,6206,0,0,0,0
4-5,380,1354,430,1932,1569,2674,1846,4417,1269,4220,0,0,389,1969,1759,4052,74222,7914,0,0,0,0
5-6,110,808,373,2668,1645,2991,3558,6728,1458,5057,174855,6814,377,2249,1894,4413,33725,5949,2832,1369,0,0
6-7,1495,2363,1056,2468,5553,3276,18200,8004,5288,6217,101762,6380,1082,2894,5937,4858,260565,8708,22454,2239,0,0
7-8,4224,2594,934,854,8342,3096,17998,4693,6410,4251,11094,5073,1171,1899,9624,4713,429996,10090,2103,2117,0,0
8-9,1069,1545,571,1178,3525,2668,6542,4747,3134,3512,4465,4685,737,1720,4293,4160,265379,8609,1878,2920,0,0
9-10,2681,1625,677,1757,6397,2982,6733,5652,5514,5340,7467,6129,907,2039,5980,4865,160875,8029,1290,2244,0,0
10-11,2243,2441,816,1660,5399,3108,6079,6167,4869,5759,9705,7258,978,2027,6953,5697,0,0,1416,2823,0,0
11-12,4494,3244,1007,1927,7642,3092,10037,7194,5748,6453,10550,8041,1227,2305,9433,6526,15352,7901,1836,3192,0,0
12-13,2854,2580,1078,2024,10433,3380,7874,6693,11516,7650,13358,8349,1092,2297,12844,5899,214297,7698,1644,3139,0,0
13-14,3354,3531,3185,2435,5958,2988,9796,6864,4434,5924,8396,7254,1262,2733,7394,6254,0,0,1704,3160,0,0
14-15,1654,2483,747,1756,5957,3279,7327,6068,5546,6727,7616,6908,755,2180,4595,5554,0,0,1287,2722,0,0
15-16,596,1686,832,2023,5613,3029,8133,6865,4646,6170,7463,6309,895,2702,5873,5175,2001712,9758,969,2497,0,0
16-17,351,1243,543,1730,4097,2919,2206,5277,3647,5767,5493,6891,497,1866,3137,3853,156965,8190,420,1449,0,0
17-18,1288,2536,658,2406,4521,3203,5279,5949,3953,5192,6617,7175,697,2238,4946,5504,234973,9489,1005,2562,0,0
18-19,1078,2113,922,1899,5017,3207,4355,6125,4451,4503,7561,6858,1082,2750,6980,6345,241629,9031,1407,2624,0,0
19-20,867,1808,429,1543,2626,3032,5406,5587,2016,3714,3751,5806,568,2009,3645,5655,225117,8713,1076,2576,0,0
20-21,1326,2834,201,1351,1333,3050,2435,4912,949,3120,1150,3504,101,1070,1226,3921,56460,6682,174,891,0,0
21-22,711,2477,204,1949,1179,2582,724,5066,1011,3646,1716,4600,208,1598,1603,4080,52658,6618,288,1655,0,0
22-23,13,636,32,2909,27,710,0,0,36,901,96,3420,37,1344,87,2483,133,2222,375,3153,0,0
23-24,39,476,198,1982,650,3169,231,3580,523,5486,1331,3766,179,1777,859,3496,39359,6538,138,1091,0,0
