hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,2,0,0,0,94,4,100,0
1-2,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
2-3,0,0,0,0,0,0,0,0,0,0,0,224,224,0
3-4,0,0,0,34,0,0,3,0,0,39,0,15,91,0
4-5,12,16370,0,579,20,2,1333,0,0,11695,979,1354,32344,7
5-6,0,6012,0,77,0,0,245,0,0,3978,5645,656,16613,6
6-7,1244,38112,0,1469,27,13,2319,0,0,34939,234989,3335,316447,97
7-8,382,25376,0,1579,31,20,2026,0,0,25859,72562,1697,129532,40
8-9,8,6369,0,304,0,0,431,0,0,5697,623955,1463,638227,210
9-10,4,33710,0,620,0,2,1668,0,0,26085,10656,2967,75712,22
10-11,20,40889,0,1634,44,24,2764,0,0,32225,342370,4759,424729,210
11-12,0,16116,0,817,0,38,1173,0,0,15600,20993,2570,57307,16
12-13,552,40061,0,1740,29,22,1735,0,0,22892,495493,3240,565764,154
13-14,0,12200,0,1041,0,65,996,0,0,13615,14380,3211,45508,13
14-15,17876,6636,0,1128,6,1802,454,0,0,4953,291889,1073,325817,137
15-16,8,4805,0,488,32,1172,479,0,0,5118,13393,1584,27079,8
16-17,324,6375,54,417,7,7964,529,0,0,5318,134619,2103,157710,78
17-18,0,4457,0,281,6,81,521,0,0,4763,127,423,10659,2
18-19,4,5583,0,309,12,13,315,0,0,2198,79353,2345,90132,67
19-20,0,2472,0,100,524,112,172,0,0,1651,6302,1051,12384,6
20-21,4,1748,0,101,14,44,173,0,0,2162,62948,1655,68849,34
21-22,0,0,0,0,0,0,0,0,0,0,29116,384,29500,9
22-23,0,11889,0,91,0,0,305,0,0,1611,85576,41,99513,161
23-24,0,0,0,0,0,0,0,0,0,0,0,270,270,0
