hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,60082,71,28000,457,496,1650,47,1725,319,3449,800,5019,59,1263,247,3066,502,2355,9,367,0,0
1-2,34181,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,18,192,203,783,366,1112,47,532,317,1458,1061,2104,79,635,291,1110,774,1192,21,232,0,0
3-4,25,292,231,973,1055,1866,50,771,883,2065,2213,3350,209,852,1070,2356,6264,3095,39,325,0,0
4-5,50,361,299,1268,1288,2201,228,1621,1161,2508,2068,4130,193,834,1317,2919,26159,4204,135,711,0,0
5-6,263,478,763,1218,7485,3087,26120,4748,8023,5251,9821,6149,693,1720,7421,4302,182862,8211,950,1619,0,0
6-7,343,689,566,1369,3559,2863,4083,5474,3337,4838,4882,6399,470,1885,3495,4907,186537,8168,1400,2354,0,0
7-8,1186,1570,1464,1952,9943,3463,4059,4676,10344,6564,14104,7951,1417,2779,12143,5688,314239,9897,1792,2756,0,0
8-9,1279,2191,541,1562,4383,3026,3760,4798,3578,4917,5096,5955,513,1831,4270,4839,148880,9161,1248,2563,0,0
9-10,1325,1816,883,1636,6505,3515,4634,4616,6402,5860,9177,7451,834,2274,6957,5681,163385,8996,999,2296,0,0
10-11,3449,3052,1434,2363,13632,3795,4319,5220,11768,7599,16211,9151,1414,2849,13028,6569,353402,9406,1812,2640,0,0
11-12,520,1402,883,1969,8405,3633,4822,4904,7916,7081,12540,7983,1126,2865,9706,5982,216103,9239,1095,2314,0,0
12-13,2653,2630,754,1715,6384,3502,3554,4448,5828,6360,9836,7479,1090,2660,7836,5948,228609,9442,909,1894,0,0
13-14,1248,1804,905,2270,9370,3935,4217,5521,10426,7648,12270,8205,1133,2661,9309,7501,255331,8995,1665,2950,0,0
14-15,1827,3013,960,1984,8032,3984,5328,5668,7333,7289,10307,8029,1235,3144,8319,7733,386398,9428,1710,2833,0,0
15-16,516,1620,890,1998,9418,3938,2750,5825,10004,7623,13664,8627,1161,2828,9822,6960,214180,8609,969,2203,0,0
16-17,841,1884,529,1667,7705,3810,3829,4951,8640,7190,9743,7549,932,2490,9354,7230,232858,8816,864,1966,0,0
17-18,646,1397,624,1690,5960,3632,3209,5038,6337,6733,9397,6957,1008,2758,8828,6781,190863,9127,822,2283,0,0
18-19,471,1408,682,1984,4361,3620,2807,5641,4372,5050,6872,6373,693,2411,5583,6124,185953,9170,732,1875,0,0
19-20,547,1531,177,1276,3086,3155,770,3992,3469,4525,3728,4380,269,1456,3794,5446,33211,6742,240,1006,0,0
20-21,125,787,273,1720,3027,2717,810,4089,2873,4528,4603,5298,441,2059,5055,5436,132869,7909,792,2410,0,0
21-22,82,829,211,1447,1535,2993,1289,6299,1820,5101,2118,4359,139,1625,1219,4475,17482,5149,430,1878,0,0
22-23,1750,1389,153,1721,461,2945,285,4173,416,3314,1229,6166,127,1525,595,3768,3070,4556,393,1865,0,0
23-24,3,272,35,3181,367,2793,0,0,431,2684,634,4002,69,969,664,4940,88,1604,42,991,0,0
