hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,232,0,38,0,0,23,0,0,130,1563,383,2369,0
1-2,0,268,0,38,0,0,24,0,0,110,69,0,509,0
2-3,0,273,0,36,0,0,28,0,0,134,336,0,807,0
3-4,0,119,0,19,0,0,18,0,0,80,15407,148,15791,6
4-5,8,4579,0,530,14,2,477,0,0,4485,4849305,183,4859583,1618
5-6,4,9572,0,930,6,20,531,0,0,5081,131250,35261,182655,59
6-7,87,82329,161,5397,153,233,6267,0,0,70838,29747673,66808,29979946,8323
7-8,24,69873,25,3496,119,175,6361,0,0,80905,22730359,100934,22992271,7660
8-9,547,32061,150,4428,732,143,2622,0,0,27015,5447604,526969,6042271,1674
9-10,36,43265,0,3725,118,65,3893,0,0,40612,23029946,113162,23234822,7741
10-11,44,68623,0,7774,78,140,4949,0,0,62526,10931129,37769,11113032,3084
11-12,24,30149,0,3163,46,55,2054,0,0,24599,10662077,13184,10735351,3576
12-13,36,43928,0,3412,69,112,3303,0,0,46187,21472447,1710,21571204,5988
13-14,44,27621,0,4287,33,178,1872,0,0,21645,21447100,1014,21503794,7165
14-15,24,33139,0,1877,48,39,7674,0,0,24351,16984429,639,17052220,4060
15-16,14,25297,0,3496,26,100,1583,0,0,16058,3321933,2374,3370881,803
16-17,35,56272,36,1989,54,18,3867,0,0,45282,8580522,2345,8690420,14331
17-18,16,33770,0,980,52,13,2687,0,0,37039,36790155,1036,36865748,12286
18-19,8,30630,0,935,26,0,1951,0,0,26999,11843130,2080,11905759,3304
19-20,87,26620,86,2017,127,28,2348,0,0,28880,17355025,451,17415669,5802
20-21,337,24616,134,1193,51,59,1578,0,0,18057,20185396,471,20231892,5618
21-22,4,15502,0,760,18,15,739,0,0,10565,89695,176,117474,59
22-23,0,2127,0,90,0,0,111,0,0,1014,140,0,3482,0
23-24,0,4798,0,126,0,0,311,0,0,4232,326,0,9793,2
