hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,906,7521,0,0,0,0,0,0,0,0,9,900,3,300,0,0
1-2,0,0,0,0,0,0,13,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-4,0,0,0,0,0,0,70,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-5,6,286,77,1605,196,1933,1602,4381,253,2652,653,5846,43,1004,271,3431,0,0,0,0,0,0
5-6,163,1816,75,1050,463,2647,23774,4574,449,2378,1106,3738,87,1242,599,3275,28337,6732,470,1859,0,0
6-7,17,823,31,840,96,2790,5742,5571,44,1818,205,2185,37,1153,190,4898,13705,4652,90,1452,0,0
7-8,0,0,0,0,0,0,12361,7443,0,0,9,466,0,0,0,0,420,4137,57,2125,0,0
8-9,3,272,35,1251,50,2173,4398,6141,43,4300,199,2979,15,1500,42,3818,847,2103,39,885,0,0
9-10,24,287,18,854,141,2181,7900,7689,139,3082,302,1751,34,1258,258,3273,4552,4613,36,503,0,0
10-11,0,0,0,0,0,0,18875,8972,0,0,18,1000,0,0,0,0,3,333,12,335,0,0
11-12,0,0,0,0,0,0,10098,6944,0,0,0,0,0,0,0,0,0,0,15,360,0,0
12-13,0,0,0,0,0,0,10167,6919,0,0,0,0,0,0,0,0,3,333,3,333,0,0
13-14,3,375,45,1359,190,1806,3179,5771,212,3159,489,4086,43,928,263,2798,1383,5015,39,756,0,0
14-15,240,1860,71,905,501,3093,4265,5814,447,3575,834,2425,133,1155,911,3436,21120,5565,99,722,0,0
15-16,2,250,6,600,21,2333,3641,5706,75,2327,116,2122,27,1097,152,3417,3,333,58,5800,0,0
16-17,0,0,0,0,60,2727,3490,5922,72,5142,111,4166,12,1090,96,5052,0,0,0,0,0,0
17-18,0,0,0,0,137,2271,7313,6570,165,4800,230,4859,43,2150,214,2035,0,0,0,0,0,0
18-19,0,0,0,0,80,2337,4418,6580,113,3766,168,2970,21,533,84,2446,428,7044,9,600,0,0
19-20,0,0,0,0,0,0,1831,4150,0,0,0,0,0,0,0,0,3,300,0,0,0,0
20-21,0,0,0,0,0,0,1715,5833,0,0,0,0,0,0,0,0,3,333,0,0,0,0
21-22,0,0,0,0,0,0,2510,8271,0,0,0,0,0,0,0,0,3,300,0,0,0,0
22-23,0,0,184,4111,0,0,75,2803,0,0,0,0,0,0,0,0,0,0,30,732,0,0
