hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,6,170,64,1866,54,1832,0,0,30,1431,66,3150,6,323,34,1622,1285,3403,18,588,0,0
1-2,96513,55,64,2909,54,1938,13,1444,30,1770,66,3150,6,354,34,2006,86,1330,6,241,0,0
2-3,96507,42,28037,47,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-5,46,284,314,808,770,1184,1698,2373,506,1198,1287,1554,196,575,817,1376,14892,3121,126,470,0,0
5-6,265,545,483,1243,1158,1990,26470,5130,809,2865,1729,2716,335,1295,1252,3285,94106,7429,907,1615,0,0
6-7,1337,1450,740,1330,3864,2448,5519,4980,2992,3158,5986,4390,967,1549,4815,4064,280016,9008,1914,2663,0,0
7-8,1078,1305,871,1617,5283,2960,8946,6345,4182,4437,7943,5245,1175,1828,6780,4987,310253,10018,2049,3037,0,0
8-9,1018,1342,680,1490,3575,2241,7338,6278,2899,4164,5209,4896,726,1889,3856,4319,234994,9415,1542,2561,0,0
9-10,3364,2544,632,1418,5638,2940,6930,6443,4513,4896,6014,4698,844,1816,7422,5460,359545,10006,1482,2510,0,0
10-11,2144,2517,528,1629,3042,2648,6737,5532,1838,3488,3825,4640,605,1687,4488,4933,263187,8820,1476,2746,0,0
11-12,1044,2563,178,1007,2731,2915,4860,4944,2632,4183,3356,4204,463,1634,3715,4956,225705,8934,1191,2276,0,0
12-13,1151,3111,205,1212,1746,2890,6449,6094,1124,4034,2095,4499,346,1586,2154,4502,102652,7499,711,2097,0,0
13-14,1665,2657,234,1215,2286,2876,6415,6071,1201,3670,2217,4248,514,2342,3104,5365,271605,9014,1620,2383,0,0
14-15,1223,2368,395,1423,2291,2831,5167,5083,1544,3390,2398,4093,351,1534,2576,4784,142765,8576,1083,1978,0,0
15-16,417,2290,161,1239,1516,2218,6401,6057,1313,2826,1746,3316,243,1389,1854,4001,54841,6351,513,1457,0,0
16-17,261,1143,177,1060,1027,1923,3198,5303,738,3278,1653,3613,241,1214,1428,4016,68228,7257,501,1592,0,0
17-18,3,250,32,1882,43,1265,1747,4599,59,2750,62,1283,6,354,17,2125,10761,3555,171,1579,0,0
18-19,216,1767,41,1120,508,2371,3695,5607,721,5581,232,2127,9,274,701,4472,17618,4369,186,1542,0,0
19-20,0,0,116,3104,0,0,1347,6062,0,0,32,479,0,0,23,2090,4,333,3,300,0,0
20-21,3,300,36,1476,0,0,1703,5052,0,0,12,564,18,937,39,3545,776,2646,18,848,0,0
21-22,15,900,32,2909,257,3893,611,6041,208,9043,266,7600,3,333,170,2833,47,1169,366,3094,0,0
22-23,3,300,64,1555,54,2842,0,0,43,4300,183,3385,21,1015,42,2116,43,1325,3,272,0,0
