hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,0,0,0,0,0,0,928,2329,0,0,0,0,0,0,0,0,857,5287,6,666,0,0
1-2,0,0,0,0,0,0,13,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,3,333,36,1141,320,4013,0,0,369,5911,429,5961,34,950,362,4293,1931,5712,24,664,0,0
3-4,15,494,122,3479,460,3959,138,2975,429,10214,693,2077,92,1789,447,3865,1933,3624,42,761,0,0
4-5,400,1238,754,1949,3959,2991,1501,4990,3965,5784,6552,7091,831,2651,5111,6128,187089,9855,1162,2752,0,0
5-6,357,1649,373,1999,1518,2978,2706,5553,1035,4860,2128,6120,421,3348,2190,4599,276297,9173,853,2299,0,0
6-7,1511,2499,616,1664,7249,3605,11961,8249,8427,7790,9097,7518,992,3175,9106,5760,358297,9440,24204,6093,0,0
7-8,2620,3490,785,1997,5987,3622,13165,8441,4986,5997,8156,5897,1278,3929,9817,5364,480314,8466,34317,6251,0,0
8-9,1129,2977,475,1993,5065,2999,6688,6809,4230,5471,5179,5383,482,2459,4761,4820,211431,8508,12554,3494,0,0
9-10,12906,1964,678,1938,6835,3727,8477,7620,7689,7339,7556,5536,860,2700,7229,5918,203438,8886,7361,3691,0,0
10-11,2062,2897,999,2353,6130,3531,10621,7060,5825,5828,8133,6749,879,2766,5990,5691,2362165,12675,1059,2278,0,0
11-12,2345,2936,1174,2700,9391,4112,12046,8348,11269,7164,9748,7434,1274,3654,7513,5875,311805,9496,1241,2513,0,0
12-13,557,2131,994,2379,7823,3851,10180,8072,8717,7193,10368,7272,1358,4366,10207,7278,463740,9539,1467,2883,0,0
13-14,708,1879,750,2310,5245,4114,7644,7063,7226,6400,5053,5582,766,3080,4368,5207,302276,8284,1386,2271,0,0
14-15,1004,3065,346,1495,2530,2743,5821,6916,2455,4986,3821,4937,487,2441,3399,4388,190834,7372,2145,3010,0,0
15-16,720,3024,385,1944,5041,3712,11481,8081,5876,6754,7368,6361,796,2521,6265,6415,219095,8561,2640,3455,0,0
16-17,1568,3655,371,1765,3723,3559,15495,8345,2149,4326,2757,4770,396,2525,3699,5010,269954,8899,1062,3191,0,0
17-18,293,1714,214,1467,4267,3310,3971,6149,4297,6120,5476,6938,426,1774,4299,4959,102798,7233,351,1521,0,0
18-19,6738,1945,473,1730,5566,3909,3008,4993,8318,7435,5824,6350,543,2168,3956,5152,103926,8172,856,2291,0,0
19-20,479,3846,124,1170,734,2805,3009,5391,977,4457,1356,4379,198,2146,1309,4215,90060,7120,708,2658,0,0
20-21,34,868,112,1414,2090,3655,5376,7765,1466,5144,2085,5188,214,2375,2055,6086,112581,7570,711,2964,0,0
21-22,10,1111,0,0,0,0,615,5159,0,0,27,1031,27,721,269,3880,82,1316,366,4419,0,0
22-23,0,0,0,0,100,3703,0,0,261,8156,0,0,0,0,0,0,0,0,0,0,0,0
23-24,95054,38,28035,56,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
