hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,206,0,37,0,0,20,0,0,130,2516,0,2909,1
1-2,0,203,0,37,0,0,16,0,0,130,28,0,414,0
3-4,0,0,0,0,0,0,0,0,1472,0,0,0,1472,0
4-5,4,4678,0,403,14,0,346,0,0,3987,31944,525,41901,12
5-6,20,11137,46,750,29,5,927,0,0,8134,155834,1285,178167,73
6-7,44,27782,0,3150,89,42,2557,0,0,27996,414491,1741,477892,129
7-8,52,35355,0,2212,154,8,2968,0,0,36731,446831,3969,528280,144
8-9,32,27517,17,2143,113,14,2188,0,0,22863,433385,2370,490642,133
9-10,44,39209,0,4801,148,128,2866,0,0,34220,521765,3063,606244,163
10-11,44,24059,0,3175,93,62,1943,0,0,20996,425345,2786,478503,129
11-12,12,25024,20,2123,92,93,1870,0,0,20034,371662,1585,422515,114
12-13,16,12772,0,1684,36,54,1064,0,0,12274,268507,3242,299649,81
13-14,12,18604,0,2962,13,204,1552,0,0,18151,389691,3734,434923,119
14-15,36,15971,0,2127,33,76,1283,0,0,12282,237200,1971,270979,63
15-16,8,10563,0,891,22,5,902,0,0,9505,83692,2072,107660,27
16-17,8,7300,0,645,19,26,569,0,0,5878,92361,1608,108414,28
17-18,0,97,0,13,0,0,8,0,0,91,8823,171,9203,7
18-19,4,4822,0,266,11,2,363,0,0,2517,48098,1453,57536,29
19-20,0,83,0,5,103,0,10,0,0,148,0,710,1059,0
20-21,0,0,0,26,0,0,6,0,0,61,1433,401,1927,0
21-22,0,1781,0,20,0,0,97,0,0,604,29,170,2701,1
22-23,0,277,0,47,0,0,20,0,0,276,28,0,648,0
23-24,0,0,0,0,0,0,2,0,0,0,0,0,2,0
