hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,1,0,0,0,12,290,303,0
3-4,0,0,0,0,0,0,0,0,0,0,0,17,17,0
4-5,0,1671,781,77,0,0,98,0,0,1736,168,459,4990,1
5-6,4,2836,0,106,7,0,340,0,0,4126,28676,19,36114,17
6-7,4,665,0,60,7,0,104,0,0,1241,16227,1793,20101,4
7-8,0,0,0,4,0,0,19,0,0,22,844,3421,4310,1
8-9,0,214,0,28,0,0,26,0,0,304,1917,2297,4786,0
9-10,0,779,0,112,4,15,77,0,0,1201,6463,1575,10226,5
10-11,0,0,0,6,0,0,4,0,0,66,0,5764,5840,1
11-12,0,0,0,0,0,0,5,0,0,0,0,2672,2677,0
12-13,0,0,0,0,0,0,1,0,0,0,0,3288,3289,0
13-14,0,676,0,34,0,0,40,0,0,516,846,1062,3174,1
14-15,8,3791,0,486,19,15,353,0,0,5141,25665,2175,37653,9
15-16,0,594,0,132,0,0,82,0,0,890,0,1483,3181,1
16-17,0,329,0,14,0,0,31,0,0,467,0,1531,2372,0
17-18,0,56,0,7,0,0,3,0,0,86,0,3174,3326,1
18-19,0,375,0,41,0,0,29,0,0,714,279,1454,2892,0
19-20,0,0,0,0,0,0,0,0,0,0,0,647,647,0
20-21,0,0,0,0,0,0,0,0,0,0,0,809,809,0
21-22,0,0,0,0,0,0,0,0,0,0,0,429,429,0
22-23,0,0,0,0,322,0,9,0,0,0,0,0,331,0
