hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
2-3,0,4528,19,599,0,0,323,0,0,4981,955,403,11808,3
3-4,0,245,0,36,0,0,21,0,0,125,84,0,511,0
4-5,0,664,0,71,0,0,47,0,0,738,85,0,1605,0
5-6,0,789,0,82,0,0,66,0,0,604,558,0,2099,0
6-7,0,14731,0,782,0,0,1039,0,0,11688,9663,8,37911,9
7-8,0,14422,0,403,0,0,961,0,0,14482,13092,15,43375,13
8-9,0,16244,0,235,0,0,898,0,0,9122,3705,45,30249,7
9-10,4,18798,0,474,13,0,1374,0,0,20891,74079,130,115763,36
10-11,4,41492,0,567,16,0,2132,0,0,32291,22301,42,98845,25
11-12,12,21473,0,718,19,3,1445,0,0,20223,134842,250,178985,57
12-13,12,21783,0,331,14,0,1807,0,0,24466,132008,494,180915,48
13-14,4,17734,0,668,0,0,1467,0,0,17212,11079,13,48177,13
14-15,4,4176,0,266,21,0,462,0,0,4896,124824,485,135134,36
15-16,0,401,0,39,0,0,47,0,0,239,9464,529,10719,3
16-17,0,4189,4,348,6,2,311,0,0,2898,7112,25,14895,2
17-18,4,2039,0,196,31,0,198,0,0,2961,23071,58,28558,7
18-19,0,1327,0,86,6,0,173,0,0,1294,52224,0,55110,21
19-20,4,8808,0,954,6,7,560,0,0,5416,48605,328,64688,19
20-21,0,3966,0,43,0,0,263,0,0,1888,145,0,6305,1
21-22,0,2984,0,69,0,0,506,0,0,1064,112,33,4768,1
22-23,0,414,0,64,0,0,29,0,0,340,85,0,932,0
23-24,0,705,0,66,0,0,43,0,0,360,113,0,1287,0
