hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,1,0,0,0,6,0,7,0
3-4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5-6,0,0,0,0,0,0,2,0,0,0,0,0,2,0
6-7,0,0,0,0,0,0,0,0,0,0,0,272,272,0
7-8,0,0,0,0,0,0,0,0,0,0,0,17,17,0
8-9,0,0,0,0,0,0,0,0,0,0,0,481,481,0
9-10,0,0,0,0,0,0,0,0,0,0,0,433,433,0
10-11,0,0,0,0,0,0,0,0,0,0,97274,62,97336,81
11-12,0,0,0,0,0,0,0,0,0,0,640000,2,640002,266
12-13,0,0,0,0,0,0,2,0,0,0,0,687,689,0
13-14,0,0,0,0,0,0,1,0,0,0,265209,0,265210,442
14-15,0,0,0,0,0,0,0,0,0,0,56850,2,56852,94
15-16,0,0,0,0,0,0,0,0,0,0,0,306,306,0
16-17,0,0,0,0,0,0,0,0,0,0,0,2,2,0
18-19,0,523,0,23,0,0,34,0,0,786,0,57,1423,1
20-21,0,664,0,18,0,0,52,0,0,915,0,55,1704,2
22-23,0,100,0,17,0,0,8,0,0,74,0,41,240,0
