hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,46,1391,4,501,20,13,111,0,0,1103,14256,688,18133,26
2-3,0,0,0,0,0,0,0,0,0,0,0,154,154,0
3-4,0,0,0,0,0,0,0,0,0,0,0,45,45,0
4-5,0,401,0,10,0,0,37,0,0,689,30,13,1180,0
5-6,0,0,48,2,0,0,7,0,0,12,375,357,801,0
6-7,0,250,0,5,0,0,20,0,0,250,372,1621,2518,0
7-8,0,2091,0,8,0,0,103,0,0,1059,0,2597,5858,0
8-9,17,3209,1079,281,30,71,199,0,0,2798,2148,2133,11965,1
9-10,0,992,0,5,0,0,40,0,0,459,94,2938,4528,0
10-11,0,1074,0,56,0,0,88,0,0,1310,30,3385,5943,1
11-12,0,2988,0,29,0,0,211,0,0,2656,30,2803,8717,0
12-13,0,4061,0,44,0,0,255,0,0,3435,87,2967,10849,1
13-14,0,3242,29,0,0,0,239,0,0,970,0,1976,6456,1
14-15,0,502,0,56,0,0,47,0,0,783,1447,2733,5568,0
15-16,4,4156,0,170,7,0,344,0,0,3311,18866,2462,29320,8
16-17,0,8831,0,83,7,0,595,0,0,9013,3917,871,23317,11
17-18,0,3327,0,2,0,0,253,0,0,1697,11653,1170,18102,5
18-19,0,10288,0,506,0,0,610,0,0,8269,4002,1187,24862,6
19-20,0,3035,0,51,7,0,211,0,0,4020,4476,430,12230,6
20-21,0,6908,0,119,14,0,377,0,0,4758,4821,642,17639,5
21-22,8,3540,0,179,0,0,245,0,0,4070,28034,454,36530,11
22-23,0,0,0,0,0,0,0,0,0,0,160,72,232,0
23-24,0,0,0,0,0,0,0,0,0,5,0,203,208,0
